Institution	City	State	Zipcode	RU_VH	ARL	ACAD_RES	Public_100K	Public_CA	latitude	longitude
Sagesse Library	Simi Valley	California	93063	N	N	N	Y	N	34.29290009	-118.7289047
Stockton-San Joaquin County Library	Stockton	California	95202	N	N	N	Y	N	37.958811	-121.291563
Sunnyvale Public Library	Sunnyvale	California	94088	N	N	N	Y	N	37.371317	-122.039047
Thousand Oaks Public Library	Thousand Oaks	California	91362	N	N	N	Y	N	34.181591	-118.927948
Torrance Public Library	Torrance	California	90503	N	N	N	Y	N	33.837279	-118.343588
Chattahoochee Valley Libraries	Columbus	Georgia	31906	N	N	N	Y	N	32.476361	-84.944124
Live Oak Public Libraries	Savannah	Georgia	31401	N	N	N	Y	N	32.069592	-81.1054
Hawaii State Public Library System	Honolulu	Hawaii	96813	N	N	N	Y	N	21.3098596	-157.8633682
Ada Community Library	Boise City	Idaho	83709	N	N	N	Y	N	43.575896	-116.314928
Boise Public Library	Boise City	Idaho		N	N	N	Y	N	43.610327	-116.207053
Aurora Public Library	Aurora	Illinois	60505	N	N	N	Y	N	41.756282	-88.317062
Chicago Public Library	Chicago	Illinois	60605	N	N	N	Y	N	41.867199	-87.6259
Joliet Public Library	Joliet	Illinois	60432	N	N	N	Y	N	41.5268402	-88.0830335
Naperville Public Library	Naperville	Illinois	60564	N	N	N	Y	N	41.763599	-88.144897
Peoria Public Library	Peoria	Illinois	61602	N	N	N	Y	N	40.6951888	-89.5923806
Rockford Public Library	Rockford	Illinois	61101	N	N	N	Y	N	42.272011	-89.092793
Lincoln Library	Springfield	Illinois	62701	N	N	N	Y	N	39.79902908	-89.64648686
Evansville Vanderburgh Public Library	Evansville	Indiana	47713	N	N	N	Y	N	37.971541	-87.565435
Allen County Public Library	Fort Wayne	Indiana	46802	N	N	N	Y	N	41.075525	-85.099064
Indianapolis-Marion County Public Library	Indianapolis	Indiana	46206	N	N	N	Y	N	39.89612	-86.227949
Cedar Rapids Public Library	Cedar Rapids	Iowa	52404	N	N	N	Y	N	41.97694525	-91.66244321
Des Moines Public Library	Des Moines	Iowa	50309	N	N	N	Y	N	41.586119	-93.630861
Kansas City Kansas Public Library	Kansas City	Kansas	66101	N	N	N	Y	N	39.115347	-94.625165
Olathe Public Library	Olathe	Kansas	66061	N	N	N	Y	N	38.88193	-94.818103
Topeka and Shawnee County Public Library	Topeka	Kansas	66604	N	N	N	Y	N	39.051064	-95.695842
Wichita Public Library	Wichita	Kansas	67202	N	N	N	Y	N	37.684614	-97.338335
Lexington Public Library	Lexington-Fayette	Kentucky	40507	N	N	N	Y	N	38.04504013	-84.49636078
Louisville Free Public Library	Louisville-Jefferson County	Kentucky	40203	N	N	N	Y	N	38.2442	-85.758699
East Baton Rouge Parish Library	Baton Rouge	Louisiana	70806	N	N	N	Y	N	30.4426337	-91.1064567
Lafayette Public Library	Lafayette	Louisiana	70501	N	N	N	Y	N	30.22655703	-92.01959476
New Orleans Public Library	New Orleans	Louisiana	70112	N	N	N	Y	N	29.95752	-90.076859
Shreve Memorial Library	Shreveport	Louisiana	71120	N	N	N	Y	N	32.51157	-93.743339
Enoch Pratt Free Library	Baltimore	Maryland	21201	N	N	N	Y	N	39.294171	-76.616922
Cambridge Public Library	Cambridge	Massachusetts	02138	N	N	N	Y	N	42.373425	-71.111022
Samuel S. Pollard Memorial Library	Lowell	Massachusetts	01852	N	N	N	Y	N	42.646106	-71.31428
Springfield City Library	Springfield	Massachusetts	01103	N	N	N	Y	N	42.103245	-72.584652
Worcester Public Library	Worcester	Massachusetts	01608	N	N	N	Y	N	42.261216	-71.799919
Ann Arbor District Libraries	Ann Arbor	Michigan	48104	N	N	N	Y	N	42.27875	-83.746064
Detroit Public Library	Detroit	Michigan	48202	N	N	N	Y	N	42.373386	-83.077026
Flint Public Library	Flint	Michigan	48502	N	N	N	Y	N	43.0218842	-83.6805394
Grand Rapids Public Library	Grand Rapids	Michigan	49503	N	N	N	Y	N	42.931728	-85.654518
Capital Area District Library	Lansing	Michigan	48933	N	N	N	Y	N	42.72985	-84.553819
Sterling Heights Public Library	Sterling Heights	Michigan	48313	N	N	N	Y	N	42.59020083	-83.0111517
Warren Public Library	Warren	Michigan	48093	N	N	N	Y	N	42.51108551	-83.02566528
Minneapolis Public Library	Minneapolis	Minnesota	55401	N	N	N	Y	N	44.98056412	-93.27016449
Saint Paul Public Library	St. Paul	Minnesota	55119	N	N	N	Y	N	44.94023132	-93.01474762
Jackson/Hinds Public Library	Jackson	Mississippi	39201	N	N	N	Y	N	32.295841	-90.185249
Mid-Continent Public Library	Independence	Missouri	64050	N	N	N	Y	N	39.111427	-94.390866
Kansas City Public Library	Kansas City	Missouri	64105	N	N	N	Y	N	39.1022893	-94.5839187
Springfield-Greene County Library	Springfield	Missouri	65810	N	N	N	Y	N	37.130162	-93.296928
Richmond Heights Memorial Library	St. Louis	Missouri	63117	N	N	N	Y	N	38.627803	-90.331758
Lincoln City Library	Lincoln	Nebraska	68508	N	N	N	Y	N	40.813145	-96.700974
Omaha Public Library	Omaha	Nebraska	68102	N	N	N	Y	N	41.258096	-95.93532
Henderson District Public Library	Henderson	Nevada	89012	N	N	N	Y	N	36.0205587	-115.0834631
Las Vegas-Clark County Library District	Las Vegas	Nevada	89113	N	N	N	Y	N	36.042379	-115.246316
