Company name,Director name,Tied-to company name,Exec of tied-to company?,SIC,Fortune #,HQ city,HQ state,Tied-to SIC,Tied-to Fortune #,Tied-to HQ city,Tied-to HQ state,Exec of focal co?
3COM CORP,"DORMAN, DAVID W.",SCIENCE APPLICATIONS INTERNATI,0,3577,303,SANTA CLARA,CA,8711,347,SAN DIEGO,CA,0
3COM CORP,"DORMAN, DAVID W.",SCIENTIFIC ATLANTA INC,0,3577,303,SANTA CLARA,CA,3663,981,NORCROSS,GA,0
A G EDWARDS INC,"EDWARDS, BENJAMIN F., III",HEILIG MEYERS CO,0,6211,653,ST LOUIS,MO,5712,563,RICHMOND,VA,1
A H BELO CORP,"BECTON, HENRY P., JR.",BECTON DICKINSON & CO,0,2711,876,DALLAS,TX,3841,468,FRANKLIN LAKES,NJ,0
A H BELO CORP,"ROBINSON, HUGH G.",CIRCUIT CITY STORES INC,1,2711,876,DALLAS,TX,5731,182,RICHMOND,VA,0
A H BELO CORP,"CRAVEN, JUDITH L.",COMPAQ COMPUTER CORP,0,2711,876,DALLAS,TX,3571,28,HOUSTON,TX,0
A H BELO CORP,"ENRICO, ROGER A.",DAYTON HUDSON CORP,0,2711,876,DALLAS,TX,5331,30,MINNEAPOLIS,MN,0
A H BELO CORP,"DECHERD, ROBERT W.",KIMBERLY CLARK CORP,0,2711,876,DALLAS,TX,2676,136,DALLAS,TX,1
A H BELO CORP,"ENRICO, ROGER A.",PEPSICO INC,1,2711,876,DALLAS,TX,2086,54,PURCHASE,NY,0
A H BELO CORP,"CRAVEN, JUDITH L.",SYSCO CORP,0,2711,876,DALLAS,TX,5142,97,HOUSTON,TX,0
ABBOTT LABORATORIES,"RAND, ADDISON BARRY",AMERITECH CORP,0,2834,133,ABBOTT PARK,IL,4813,87,CHICAGO,IL,0
ABBOTT LABORATORIES,"ROBERTS, ROY S.",BURLINGTON NORTHERN SANTA FE C,0,2834,133,ABBOTT PARK,IL,4011,178,FORT WORTH,TX,0
