ORGANIZATION	AWARDS	FUNDING	CITY	STATE
"13THERAPEUTICS, INC."	1	999411	PORTLAND	OR
"21ST CENTURY THERAPEUTICS, INC."	1	276418	FERNDALE	MI
"23ANDME, INC."	1	805975	MOUNTAIN VIEW	CA
"360FRESH, INC."	1	499892	PALO ALTO	CA
3-C INSTITUTE FOR SOCIAL DEVELOPMENT	6	2167342	CARY	NC
"3D BIOMATRIX, INC."	1	34628	Ann Arbor	MI
3D MOLECULAR DESIGNS	1	200542	MILWAUKEE	WI
"3DMD, LLC"	1	318425	ATLANTA	GA
"3DT HOLDINGS, LLC"	3	665248	INDIANAPOLIS	IN
"3P BIOTECHNOLOGIES, INC."	1	45061	PROSPECT	KY
"480 BIOMEDICAL, INC."	1	200000	WATERTOWN	MA
"490 BIOTECH, INC."	1	138191	KNOXVILLE	TN
"A AND G PHARMACEUTICAL, INC."	2	269565	COLUMBIA	MD
A.T. STILL UNIVERSITY OF HEALTH SCIENCES	1	208462	KIRKSVILLE	MO
"AADI, LLC"	1	168928	PACIFIC PALISADES	CA
"AARDEN PHARMACEUTICALS, INC."	1	249269	INDIANAPOLIS	IN
AARON DIAMOND AIDS RESEARCH CENTER	12	7520435	NEW YORK	NY
ABEOME CORPORATION	1	275916	ATHENS	GA
"ABLELINK TECHNOLOGIES, INC."	3	916722	COLORADO SPRINGS	CO
"AC DIAGNOSTICS, INC."	1	299995	FAYETTEVILLE	AR
ACADEMIC PEDIATRIC ASSOCIATION	1	142928	MC LEAN	VA
ACCEL DIAGNOSTICS	1	168846	PITTSBURGH	PA
"ACCELEREYES, LLC"	1	499601	ATLANTA	GA
"ACCENTS ON HEALTH, INC."	1	474162	SAN DIEGO	CA
"ACCESSIBLE DESIGNS, INC."	1	477689	SAN ANTONIO	TX
"ACETAMINOPHEN TOXICITY DIAGNOSTICS, LLC"	1	568564	LITTLE ROCK	AR
"ACETYLON PHARMACEUTICALS, INC."	1	367972	BOSTON	MA
"ACIONT, INC."	1	1073868	SALT LAKE CITY	UT
"ACKCO, INC."	1	547852	PHOENIX	AZ
"ACLARIS MEDICAL, LLC"	1	350000	FALCON HEIGHTS	MN
"ACOUSTIC MEDSYSTEMS, INC."	1	177408	Savoy	IL
"ACPHARIS, INC."	1	149999	HOLLISTON	MA
"ACTINOBAC BIOMED, INC."	1	108255	NORTH BRUNSWICK	NJ
"ACTIVESITE PHARMACEUTICALS, INC."	1	699825	BERKELEY	CA
"ACTUATED MEDICAL, INC."	5	3541051	BELLEFONTE	PA
ACUITYBIO CORPORATION	1	235568	NEWTON	MA
"ACUMEN, LLC"	3	485700	BURLINGAME	CA
"ADAMAS PHARMACEUTICALS, INC."	1	128625	EMERYVILLE	CA
ADAPTIVE TCR CORPORATION	3	1382589	SEATTLE	WA
"ADARZA BIOSYSTEMS, INC."	1	245912	WEST HENRIETTA	NY
"ADDIS, INC."	1	818530	CAMP SPRINGS	MD
ADELPHI UNIVERSITY	1	171716	GARDEN CITY	NY
ADEPTRIX CORPORATION	1	349034	BOSTON	MA
"ADHAERE PHARMACEUTICALS, INC."	1	300000	MIAMI	FL
"ADHEREN, INC."	1	186751	BERKELEY	CA
"ADP SILVER DENTAL ARREST, LLC"	1	117198	REDMOND	OR
ADVAITA CORPORATION	2	875897	Plymouth	MI
"ADVANCED BIODEVICES, LLC"	1	391356	PRINCETON	NJ
ADVANCED BIOMEDICAL INFORMATICS GROUP	1	215228	IOWA CITY	IA
"ADVANCED BIOMEDICAL MACHINES, INC."	1	191250	STONY BROOK	NY
"ADVANCED BIOSCIENCE LABORATORIES, INC."	35	45679290	KENSINGTON	MD
"ADVANCED CIRCULATORY SYSTEMS, INC."	1	299599	Roseville	MN
"ADVANCED DIAMOND TECHNOLOGIES, INC."	2	796047	romeoville	IL
"ADVANCED GENETIC SYSTEMS, INC."	1	279588	SAN FRANCISCO	CA
"ADVANCED GENOMIC TECHNOLOGY, LLC"	1	199666	LOUISVILLE	KY
"ADVANCED HEARING CONCEPTS, INC."	1	243595	BODEGA BAY	CA
ADVANCED LIQUID LOGIC	6	2529543	RESEARCH TRIANGLE PARK	NC
"ADVANCED MATERIALS TECHNOLOGY, INC."	2	657113	WILMINGTON	DE
ADVANCED MEDICAL ELECTRONICS CORPORATION	6	1495017	MAPLE GROVE	MN
"ADVANCED MRI TECHNOLOGY, LLC"	2	1232683	SEBASTOPOL	CA
"ADVANCED PLASMA PRODUCTS, INC."	1	1111985	Lenior City	TN
ADVANCES IN MINERAL METABOLISM	1	18000	ROCHESTER	MN
"ADVANTAGENE, INC"	1	1806651	Auburndale	MA
"ADVOCATES FOR HUMAN POTENTIAL, INC."	1	998276	SUDBURY	MA
"AEON IMAGING, LLC"	2	981600	BLOOMINGTON	IN
"AEROSOL DYNAMICS, INC."	1	149758	BERKELEY	CA
"AFASCI, INC."	5	2052768	REDWOOD CITY	CA
"AFFINERGY, LLC"	4	3567504	DURHAM	NC
"AFFINITY THERAPEUTICS, LLC"	1	199999	Valley View	OH
"AFRAME DIGITAL, INC."	1	450815	LOVETTSVILLE	VA
AG BELL ASSN FOR DEAF & HARD OF HEARING	1	100	WASHINGTON	DC
AGAVE BIOSYSTEMS	1	150000	AUSTIN	TX
"AGENEBIO, INC."	1	400517	CARMEL	IN
"AGGAMIN PHARMACEUTICALS, LLC"	1	245087	NEW YORK	NY
"AGILE SCIENCES, INC."	2	799586	RALEIGH	NC
"AGILTRON, INC."	2	737258	WOBURN	MA
AGNES SCOTT COLLEGE	1	309482	DECATUR	GA
"AGRI-ANALYSIS, LLC"	1	225000	WEST SACRAMENTO	CA
"AI CURE TECHNOLOGIES, LLC"	2	1893309	New York	NY
"AIRLIFT ENVIRONMENTAL, LLC"	1	106840	LINCOLN	NE
"AKINA, INC."	1	325813	WEST LAFAYETTE	IN
"AKONNI BIOSYSTEMS, INC."	1	399504	FREDERICK	MD
"AKTIV-DRY, LLC"	1	447532	BOULDER	CO
ALABAMA FIRE COLLEGE	1	586820	TUSCALOOSA	AL
ALABAMA STATE UNIVERSITY	2	361468	MONTGOMERY	AL
"ALAFAIR BIOSCIENCES, INC."	1	408513	AUSTIN	TX
ALASKA COMMUNITY ACTION ON TOXICS (ACAT)	1	456745	ANCHORAGE	AK
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM	2	264777	ANCHORAGE	AK
ALBANY COLLEGE OF PHARMACY	5	1480415	ALBANY	NY
ALBANY MEDICAL COLLEGE	31	9438615	ALBANY	NY
"ALBANY MOLECULAR RESEARCH, INC."	1	4471578	ALBANY	NY
"ALBANY RESEARCH INSTITUTE, INC."	1	262504	ALBANY	NY
ALBANY STATE UNIVERSITY	3	1455640	ALBANY	GA
ALBERT EINSTEIN COLLEGE OF MEDICINE	341	156074356	BRONX	NY
ALBERT EINSTEIN HEALTHCARE NETWORK	8	2644330	PHILADELPHIA	PA
ALBUS IMAGING LLC	1	299724	Lewisville	NC
ALCHEM LABORATORIES CORPORATION	2	1154859	ALACHUA	FL
ALCORN STATE UNIVERSITY	1	227013	ALCORN STATE	MS
"ALDERON BIOSCIENCES, INC."	1	137329	Beaufort	NC
"ALERE WELLBEING, INC."	2	871572	SEATTLE	WA
"ALEXANDER BIODISCOVERIES, LLC"	1	1000000	CHARLOTTESVILLE	VA
ALFRED I. DU PONT HOSP FOR CHILDREN	5	3124082	WILMINGTON	DE
"ALGOMEDIX, INC."	1	313424	MILL CREEK	WA
"ALGORITHMRX, LLC"	1	199723	NORTH CHESTERFIELD	VA
"ALGYNOMICS, INC."	1	320758	CHAPEL HILL	NC
ALLEGHENY-SINGER RESEARCH INSTITUTE	4	1398571	PITTSBURGH	PA
ALLELE BIOTECHNOLOGY AND PHARMACEUTICALS	1	199939	SAN DIEGO	CA
ALLEN INSTITUTE FOR BRAIN SCIENCE	4	1524129	SEATTLE	WA
ALLEN/LOEB ASSOCIATES	1	349700	SAN FRANCISCO	CA
"ALLIED INNOVATIVE SYSTEMS, LLC"	2	605479	HILLSBOROUGH	NJ
ALLINA HEALTH SYSTEM	1	609424	MINNEAPOLIS	MN
"ALLOSTEROS THERAPEUTICS, INC."	1	257692	SUNNYVALE	CA
"ALLTRANZ, INC."	1	230144	LEXINGTON	KY
"ALLVIVO VASCULAR, INC."	1	959773	LAKE FOREST	CA
"ALPS SOUTH, LLC"	1	150007	SAINT PETERSBURG	FL
"ALS BIOPHARMA, LLC"	1	286284	DOYLESTOWN	PA
ALTAMED HEALTH SERVICES CORPORATION	1	29760	LOS ANGELES	CA
"ALTEC, INC."	2	743386	BOSTON	MA
ALTOR BIOSCIENCE CORPORATION	1	1062358	MIRAMAR	FL
"ALTRAVAX, INC."	4	1449935	FARGO	ND
ALZHEIMER'S DRUG DISCOVERY FOUNDATION	1	62000	NEW YORK	NY
"AM BIOTECHNOLOGIES, LLC"	2	749846	HOUSTON	TX
"AMAR INTERNATIONAL, INC."	1	399854	RESTON	VA
"AMBERGEN, INC"	3	1135459	WATERTOWN	MA
"AMBRYX BIOTECHNOLOGY, INC."	1	217059	RIVERSIDE	CA
AMERICAN ACADEMY OF ADDICTION PSYCHIATRY	1	25000	EAST PROVIDENCE	RI
"AMERICAN ACADEMY OF AUDIOLOGY, INC."	1	31200	RESTON	VA
AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS	1	15000	ROSEMONT	IL
AMERICAN ACADEMY OF PEDIATRICS	1	372653	ELK GROVE VILLAGE	IL
AMERICAN ACADEMY-CHILD/ADOLESCENT PSYCH	1	1253134	WASHINGTON	DC
"AMERICAN AGING ASSOCIATION, INC."	1	46990	CLEVELAND	OH
AMERICAN ASSOCIATION FOR CANCER RESEARCH	7	1164630	PHILADELPHIA	PA
AMERICAN ASSOCIATION FOR DENTAL RESEARCH	1	50000	ALEXANDRIA	VA
"AMERICAN CANCER SOCIETY, INC."	1	274522	ATLANTA	GA
AMERICAN COCHLEAR IMPLANT ALLIANCE FDN	1	40000	MCLEAN	VA
AMERICAN COLLEGE OF MEDICAL GENETICS	1	2540405	BETHESDA	MD
AMERICAN COLLEGE OF RADIOLOGY	6	23605494	RESTON	VA
AMERICAN COLLEGE OF RHEUMATOLOGY	2	83000	ATLANTA	GA
AMERICAN DENTAL ASSOCIATION FOUNDATION	1	449747	CHICAGO	IL
AMERICAN GASTROENTEROLOGICAL ASSN/INST	1	143252	BETHESDA	MD
AMERICAN HEART ASSOCIATION	1	3925277	DALLAS	TX
AMERICAN INSTITUTES FOR RESEARCH	5	1541490	WASHINGTON	DC
AMERICAN LEGACY FOUNDATION	4	1149067	WASHINGTON	DC
AMERICAN PAIN SOCIETY	2	60000	GLENVIEW	IL
AMERICAN PHYSICIANS SCIENTISTS ASSN	1	65705	Deerfield	IL
AMERICAN PHYSIOLOGICAL SOCIETY	3	354899	BETHESDA	MD
AMERICAN PSYCHIATRIC FOUNDATION	2	91889	ARLINGTON	VA
AMERICAN PSYCHOLOGICAL ASSOCIATION	1	281811	WASHINGTON	DC
AMERICAN PSYCHOSOMATIC SOCIETY (APS)	1	15000	MC LEAN	VA
AMERICAN SOCIETY FOR BONE & MINERAL RES	1	40000	WASHINGTON	DC
AMERICAN SOCIETY FOR MICROBIOLOGY	4	854800	WASHINGTON	DC
AMERICAN SOCIETY FOR NANOMEDICINE I	1	25000	ASHBURN	VA
AMERICAN SOCIETY FOR NEUROCHEMISTRY	1	27000	WINDERMERE	FL
AMERICAN SOCIETY OF ADDICTION MEDICINE	1	24600	CHEVY CHASE	MD
AMERICAN SOCIETY OF ANDROLOGY	2	104854	SCHAUMBURG	IL
AMERICAN SOCIETY OF GENE & CELL THERAPY	1	10000	MILWAUKEE	WI
AMERICAN SOCIETY OF HEMATOLOGY	2	328658	WASHINGTON	DC
AMERICAN SOCIETY OF HUMAN GENETICS	1	30772	BETHESDA	MD
"AMERICAN SOCIETY OF NEPHROLOGY, INC."	5	48500	WASHINGTON	DC
AMERICAN SOCIETY/INVESTIGATIVE PATHOLOGY	1	15000	BETHESDA	MD
AMERICAN SOCIETY/PARENT & ENTERAL NUTRIT	1	5000	SILVER SPRING	MD
AMERICAN SPEECH-LANGUAGE-HEARING ASSN	2	214636	ROCKVILLE	MD
"AMERICAN STEM CELL, INC."	1	335440	CARLSBAD	CA
AMERICAN TYPE CULTURE COLLECTION	9	16655042	MANASSAS	VA
AMERICAN UNIVERSITY	8	1927843	WASHINGTON	DC
AMERICAN UROLOGICAL ASSOCIATION	2	19000	LINTHICUM	MD
"AMPLYX PHARMACEUTICALS, INC."	5	1581107	SAN DIEGO	CA
"AMPRION, INC."	1	502343	HOUSTON	TX
ANASYS INSTRUMENTS CORPORATION	1	151627	SANTA BARBARA	CA
"ANATOMYWORKS, LLC"	1	148400	Baltimore	MD
"ANCERA, LLC"	1	149949	NEW HAVEN	CT
"ANCORA PHARMACEUTICALS, INC."	1	299248	MEDFORD	MA
ANDROSCIENCE CORPORATION	1	1	SAN DIEGO	CA
"ANGEL MEDICAL SYSTEMS, INC."	1	580665	SHREWSBURY	NJ
"ANGIOMICS, INC."	1	99509	Louisville	KY
ANGION BIOMEDICA CORPORATION	5	3292168	Uniondale	NY
ANTAYA SCIENCE AND TECHNOLOGY	1	203840	HAMPTON	NH
"ANTEANA THERAPEUTICS, INC."	1	132661	SAN DIEGO	CA
"ANTIOP, INC."	1	1000000	LEXINGTON	KY
"APDM, INC."	3	1040326	PORTLAND	OR
"APEX THERAPEUTICS, INC."	1	240322	INDIANAPOLIS	IN
"APK ADVANCED MEDICAL TECHNOLOGIES, INC."	1	525746	ATLANTA	GA
"APOCELL, INC."	1	999750	HOUSTON	TX
APOGEE BIOTECHNOLOGY CORPORATION	1	300000	Hummelstown	PA
"APPLIED BEHAVIORAL RESEARCH, LLC"	1	475982	New Haven	CT
"APPLIED BIOMATHEMATICS, INC."	1	236124	SETAUKET	NY
APPLIED BIOTECHNOLOGY INSTITUTE	1	911830	SAN LUIS OBISPO	CA
APPLIED GENETIC TECHNOLOGIES CORPORATION	1	154045	ALACHUA	FL
"APPLIED INTEGRIN SCIENCES, INC."	2	458779	LOS ANGELES	CA
"APPLIED NANOTECH, INC."	1	175056	AUSTIN	TX
APPLIED SCIENTIFIC RESEARCH	1	75344	IRVINE	CA
"APT THERAPEUTICS, INC."	2	866114	SAINT LOUIS	MO
ARADIGM CORPORATION	2	617592	HAYWARD	CA
ARBOR RESEARCH COLLABORATIVE FOR HEALTH	5	1447738	ANN ARBOR	MI
"ARBOR ULTRASOUND TECHNOLOGIES, LLC"	1	198831	YPSILANTI	MI
ARBOR VITA CORPORATION	2	1055891	FREMONT	CA
"ARCADIA BIOSCIENCES, INC."	1	689501	PHOENIX	AZ
"ARCHIEMD, INC."	2	930394	BOCA RATON	FL
"ARCHIMAGE, INC."	1	747891	HOUSTON	TX
"ARGOS THERAPEUTICS, INC."	1	5415284	DURHAM	NC
"ARIDIS PHARMACEUTICALS, LLC"	2	5784673	SAN JOSE	CA
ARIETIS	2	1290070	Boston	MA
"ARISAN THERAPEUTICS, INC."	1	300000	SAN DIEGO	CA
"ARISAPH PHARMACEUTICALS, INC."	2	379862	BOSTON	MA
"ARISTON MEDICAL , INC."	1	150000	San Antonio	TX
"ARIZONA CANCER THERAPEUTICS, LLC"	1	300000	TUCSON	AZ
ARIZONA SCIENCE CENTER	1	192341	PHOENIX	AZ
ARIZONA STATE UNIVERSITY-TEMPE CAMPUS	116	41341038	TEMPE	AZ
ARKANSAS CHILDREN'S HOSPITAL RES INST	10	4040531	LITTLE ROCK	AR
