Company name,Director name,Title1,Age,Salary,Boards,HQ city,HQ state
3COM CORP,"BARKSDALE, JAMES L.",DIR,55,0,1,SANTA CLARA,CA
3COM CORP,"BENHAMOU, ERIC A.",CTB,42,817508,1,SANTA CLARA,CA
3COM CORP,"CAMPBELL, GORDON A.",DIR,54,0,1,SANTA CLARA,CA
3COM CORP,"COWELL, CASEY G.",DIR,45,0,1,SANTA CLARA,CA
3COM CORP,"COWIE, JAMES E.",DIR,43,0,1,SANTA CLARA,CA
3COM CORP,"DORMAN, DAVID W.",DIR,44,0,3,SANTA CLARA,CA
3COM CORP,"GASSEE, JEAN-LOUIS",DIR,54,0,1,SANTA CLARA,CA
3COM CORP,"KANTZ, PHILIP C.",DIR,54,0,1,SANTA CLARA,CA
3COM CORP,"YOVOVICH, PAUL G.",DIR,44,0,1,SANTA CLARA,CA
3COM CORP,"ZUENDT, WILLIAM F.",DIR,51,0,1,SANTA CLARA,CA
A G EDWARDS INC,"AVIS, ROBERT G.",VCB,66,1400314,1,ST LOUIS,MO
A G EDWARDS INC,"BAGBY, ROBERT L.",VCB,54,1252558,1,ST LOUIS,MO
A G EDWARDS INC,"CARTER, E. EUGENE",DIR,56,0,1,ST LOUIS,MO
A G EDWARDS INC,"CHAPMAN, CHARMAINE S.",DIR,58,0,1,ST LOUIS,MO
A G EDWARDS INC,"EDWARDS, BENJAMIN F., III",CTB,66,1803228,2,ST LOUIS,MO
A G EDWARDS INC,"EDWARDS, BENJAMIN F., IV",DIR,42,0,1,ST LOUIS,MO
A G EDWARDS INC,"FERNANDEZ, LOUIS",DIR,74,0,1,ST LOUIS,MO
A G EDWARDS INC,"HUTCHINSON, SAMUEL C., JR.",DIR,55,0,1,ST LOUIS,MO
A G EDWARDS INC,"PROOST, ROBERT L.",VPR,60,0,1,ST LOUIS,MO
A H BELO CORP,"BASSETT, JOHN W., JR.",DIR,61,0,1,DALLAS,TX
A H BELO CORP,"BECTON, HENRY P., JR.",DIR,55,0,2,DALLAS,TX
A H BELO CORP,"CRAVEN, JUDITH L.",DIR,53,0,3,DALLAS,TX
A H BELO CORP,"DECHERD, ROBERT W.",CTB,47,1336317,2,DALLAS,TX
A H BELO CORP,"ENRICO, ROGER A.",DIR,54,0,3,DALLAS,TX
A H BELO CORP,"HAMBLETT, STEPHEN",SBO,64,0,1,DALLAS,TX
A H BELO CORP,"HERNDON, DEALEY D.",DIR,52,0,1,DALLAS,TX
A H BELO CORP,"HUEY, WARD L., JR.",VCB,60,789910,1,DALLAS,TX
A H BELO CORP,"MADRID, ARTURO",DIR,60,0,1,DALLAS,TX
A H BELO CORP,"MORONEY, JAMES M., JR.",EVP,77,442187,1,DALLAS,TX
A H BELO CORP,"OSBORNE, BURL",DPR,61,743823,1,DALLAS,TX
A H BELO CORP,"ROBINSON, HUGH G.",DIR,66,0,2,DALLAS,TX
A H BELO CORP,"SOLOMON, WILLIAM T.",DIR,56,0,1,DALLAS,TX
A H BELO CORP,"WILLIAMS, J. MCDONALD",DIR,57,0,1,DALLAS,TX
ABBOTT LABORATORIES,"AUSTEN, K. F.",DIR,70,0,1,ABBOTT PARK,IL
ABBOTT LABORATORIES,"BURNHAM, DUANE L.",CTB,57,7707974,3,ABBOTT PARK,IL
ABBOTT LABORATORIES,"FULLER, H. LAURANCE",(PR,60,0,3,ABBOTT PARK,IL
ABBOTT LABORATORIES,"HODGSON, THOMAS R.",RTD,57,1876474,3,ABBOTT PARK,IL
ABBOTT LABORATORIES,"JONES, DAVID A., JR.",(PR,67,0,2,ABBOTT PARK,IL
ABBOTT LABORATORIES,"LEIDEN, JEFFREY M.",DIR,43,0,1,ABBOTT PARK,IL
ABBOTT LABORATORIES,"OWEN, DAVID",DIR,60,0,1,ABBOTT PARK,IL
ABBOTT LABORATORIES,"PARKINSON, ROBERT L.",PRZ,48,2089684,1,ABBOTT PARK,IL
ABBOTT LABORATORIES,"POWELL, BOONE, JR.",(PR,62,0,1,ABBOTT PARK,IL
ABBOTT LABORATORIES,"RAND, ADDISON BARRY",DIR,54,0,2,ABBOTT PARK,IL
ABBOTT LABORATORIES,"REYNOLDS, W. ANN",DIR,61,0,4,ABBOTT PARK,IL
ABBOTT LABORATORIES,"ROBERTS, ROY S.",DIR,59,0,2,ABBOTT PARK,IL
ABBOTT LABORATORIES,"SMITHBURG, WILLIAM D.",DIR,60,0,3,ABBOTT PARK,IL
ABBOTT LABORATORIES,"WALTER, JOHN R.",DIR,52,0,3,ABBOTT PARK,IL
ABBOTT LABORATORIES,"WEISS, WILLIAM L.",(PR,69,0,4,ABBOTT PARK,IL
ABBOTT LABORATORIES,"WHITE, MILES D.",CEO,43,2454997,1,ABBOTT PARK,IL
